"ACRONIMO";"Columna1";"Observaciones";
"A/F";"Alferez de Fragata";;
"AAD";"Apoyo Aéreo Directo";;
"ACEGUE";"ACadEmia de GUErra naval";;
"ACINT";"INTELIGENCIA ACÚSTICA";"Denominación Internacional";
"ACJ";"Asiciación Cristiana de Jóvenes";;
"ACNUR";"Alto Comisionado de las Naciones Unidas para los Refugiados";;
"AD";"Artillería Divisionaria";"FIC Extensión";
"ADO";"Acción Democrática Oriental";;
"AEM";"Asosiacion de Estudiantes de Medicina";;
"AER MIL";"AERopuerto MILitar";;
"AFUDE";"Asociación de Familiares de Uruguayos Desaparecidos en el Exterior";"hay una referencia a San Pablo";
"AGCHIN";"Agregado Militar,  Naval y Aéreo de la República Oriental del Uruguay en China";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"AGRAL";"Agregado Militar, Naval y Aéreo de la República Oriental del Uruguay en Alemania";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"AGREA";"Agregado Naval de la República Oriental del Uruguay en la República Argentina";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"AGREB";"AGencia de REsidentes en Brasilia";;
"AGREB";"Agregado Naval de la República Oriental del Uruguay en la República Federativa del Brasil";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"AGREBO";"Agregado Militar, Naval y Aéreo de la República Oriental del Uruguay en Bolivia";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"AGRECH";"Agregado Naval de la República Oriental del Uruguay en la República de Chile, Concurrente en Ecuador";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"AGRECO";"Agregado Militar, Naval y Aéreo de la República Oriental del Uruguay en Colombia";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"AGREE";"Agregado Naval de la República Oriental del Uruguay ante el Reino de España";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"AGREME";"Agregado  de Defensa a la Embajada";;
"AGREME";"Agregado Naval de la República Oriental del Uruguay en México";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"AGREN";"AGREgado Naval en el extranjero";;
"AGREPA";"Agregado Militar, Naval y Aéreo de la República Oriental del Uruguay en Paraguay";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"AGREPE";"Agregado Naval de la República Oriental del Uruguay en Perú";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"AGRESA";"Agregado Militar, Naval y Aéreo de la República Oriental del Uruguay en Sudáfrica";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2004"
"AGREVE";"Agregado Militar, Naval y Aéreo de la República Oriental del Uruguay en Venezuela";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2005"
"AGRIN";"Agregado Naval de la República Oriental del Uruguay en Inglaterra";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"AGRIS";"Agregado Militar, Naval y Aéreo de la República Oriental del Uruguay en Israel";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2007"
"AGRIT";"Agregado Militar, Naval y Aéreo de la República Oriental del Uruguay en Italia";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2007"
"AGRUSA";"Agregado Naval de la República Oriental del Uruguay en los Estados Unidos de América, Concurrente en Canadá";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2007"
"AGRUSA";"Agregado Militar, Naval y Aéreo de la República Oriental del Uruguay en Rusia";"Agregadurías Navales";"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2007"
"AGUSA";"AGencia USA";;
"AGUSA";"Agregado Naval Uruguayo en los Estados Unidos";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ALDHU";"Asociación Latinoamericana para los Derechos Humanos";;
"ALECAR";"Asesoría Letrada del Comando General de la Armada";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ALESM";"Asesoría Letrada del Estado Mayor";;
"ALN";"Alianza Libertadora Nacionalista";;
"AM-25";;;
"AM-26";;;
"AMS";"Asosiación de Militantes Socialistas";;
"AMULP";"Asociacion de Mujeres Uruguayas Lourdes Pintos";;
"A/N";"Armada Nacional";;
"ANCAP";"Administración Nacional Combustible, Alcohol y Portland";;
"ANACE";"Area Naval CErro- punta lobos";"Base Naval Principal";
"ANACE";"Área naval Cerro";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ANAGU";"Área Naval Guruyu";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ANALA";"Área Naval Laguna del Sauce";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ANAMI";"Area Naval MIramar- carrasco";"Campo educativo Naval";
"ANAPA";"Area Naval La Paloma";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ANAPU";"Area Naval del PUerto";;
"ANAPU";"Área Naval Puerto";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2007"
"ANCAR";"Area Naval Comando de la ARmada";"Comando General";
"ANCEN";"Área Naval Centro";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
"ANPAL";"Apostadero Naval del puerto de la PALoma";;
"ANPAL";"Jefe de la Base Naval ""C/C ERNESTO MOTTO"".";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2006"
